City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Tuatapere,NZ,-46.1333,167.6833,46.81,93,100,4.65,moderate rain
307,La Asuncion,VE,11.0333,-63.8628,80.46,84,100,10.02,overcast clouds
308,Ereymentau,KZ,51.6199,73.1033,32.85,95,100,11.3,light snow
309,Natal,BR,-5.795,-35.2094,79.45,83,20,8.05,few clouds
310,Praia,CV,14.9215,-23.5087,77.54,83,0,17.27,clear sky
311,Contamana,PE,-7.3333,-75.0167,80.6,56,61,2.59,broken clouds
312,Comandau,RO,45.7667,26.2667,31.95,64,99,5.32,overcast clouds
313,Geraldton,AU,-28.7667,114.6,68.41,60,75,13.8,broken clouds
314,Ati,TD,13.2154,18.3353,82.65,41,98,9.33,overcast clouds
315,Sawakin,SD,19.1059,37.3321,83.12,77,30,1.66,scattered clouds
316,Bubaque,GW,11.2833,-15.8333,81.91,78,52,6.51,broken clouds
317,Mpongwe,ZM,-13.5091,28.155,74.43,30,77,13.44,broken clouds
318,Ventspils,LV,57.3894,21.5606,40.93,100,20,6.91,few clouds
319,Tilichiki,RU,60.4667,166.1,32.41,56,6,4.72,clear sky
320,Kennett,US,36.2362,-90.0556,78.8,73,1,14.97,clear sky
321,Itarema,BR,-2.9248,-39.9167,78.98,75,5,13.89,clear sky
322,Ogbomosho,NG,8.133,4.25,71.56,97,100,4.43,overcast clouds
323,Pevek,RU,69.7008,170.3133,23.72,92,100,4.38,overcast clouds
324,Dalbandin,PK,28.8947,64.4101,57.54,17,0,6.06,clear sky
325,Acapulco,MX,16.8634,-99.8901,79.92,83,15,2.64,few clouds
326,Port Blair,IN,11.6667,92.75,82.13,83,100,18.23,overcast clouds
327,Bikaner,IN,28.0167,73.3,82.83,46,0,14.58,clear sky
328,Verkhnevilyuysk,RU,63.4453,120.3167,32.61,75,100,13.62,overcast clouds
329,Klaksvik,FO,62.2266,-6.589,43.72,81,100,8.23,overcast clouds
330,Lorengau,PG,-2.0226,147.2712,85.93,67,33,4.45,scattered clouds
331,Muros,ES,42.7762,-9.0603,63.23,77,28,8.99,scattered clouds
332,Halifax,CA,44.6453,-63.5724,53.65,88,100,3.44,overcast clouds
333,Gat,IL,31.61,34.7642,69.4,71,0,4.27,clear sky
334,Atherton,GB,53.5237,-2.4935,53.69,88,100,1.99,overcast clouds
335,Guanambi,BR,-14.2233,-42.7814,76.44,67,99,15.37,overcast clouds
336,Saravena,CO,6.9538,-71.8752,71.78,98,100,3.18,moderate rain
337,Yerbogachen,RU,61.2767,108.0108,30.29,79,75,12.37,light snow
338,Wajima,JP,37.4,136.9,77.68,69,75,17.27,broken clouds
339,Suoyarvi,RU,62.0833,32.35,45.09,91,63,10.83,broken clouds
340,Henties Bay,NA,-22.116,14.2845,57.85,78,0,5.75,clear sky
341,Oussouye,SN,12.485,-16.5469,80.78,83,100,3.56,overcast clouds
342,Yinchuan,CN,38.4681,106.2731,49.05,41,0,4.38,clear sky
343,Norman Wells,CA,65.282,-126.8329,30.24,93,75,6.91,broken clouds
344,Kahului,US,20.8947,-156.47,83.46,79,40,26.46,scattered clouds
345,Puerto Colombia,CO,10.9878,-74.9547,80.69,76,99,6.49,overcast clouds
346,Bingol,TR,38.8847,40.4939,56.32,24,0,5.44,clear sky
347,Nouadhibou,MR,20.931,-17.0347,67.98,88,0,10.36,clear sky
