City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
442,Buin,CL,65.73,clear sky,-33.7333,-70.75,Paihuen
443,Bandarbeyla,SO,78.91,broken clouds,9.4942,50.8122,JABIR HOTEL
444,Wajid,SO,73.27,scattered clouds,3.8093,43.2471,xamdihotelresturant114
446,North Myrtle Beach,US,74.21,scattered clouds,33.816,-78.68,Avista Resort
447,Marsh Harbour,BS,82.65,few clouds,26.5412,-77.0636,Abaco Beach Resort
448,Santa Rosa,PH,86.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
449,Ramshir,IR,64.15,clear sky,30.8946,49.4092,معصومه مهدیان
452,Durango,MX,74.03,clear sky,24.8333,-104.8333,
453,Kollam,IN,78.67,overcast clouds,8.8833,76.6,Nani Hotels and Resorts
454,Bodden Town,KY,84.2,few clouds,19.2833,-81.25,Will T Place
456,Rognac,FR,60.58,clear sky,43.4876,5.2339,CLOS LA VERDIERE
458,Rio Grande,BR,63.95,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
461,Techiman,GH,71.64,overcast clouds,7.5862,-1.9414,KONTINENTAL LODGE
464,Dwarka,IN,81.66,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
465,Manicore,BR,83.37,broken clouds,-5.8092,-61.3003,Hotel Durval
466,Gorontalo,ID,84.42,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
468,Luganville,VU,81.05,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
469,Kitui,KE,61.83,broken clouds,-1.367,38.0106,Heritage Bliss Hotel
470,Luanda,AO,73.24,broken clouds,-8.8368,13.2343,Hotel Fórum
471,Ugoofaaru,MV,82.9,broken clouds,5.6667,73.0,Ungoofaaru Inn
473,Sabang,ID,82.24,broken clouds,5.8933,95.3214,Hotel Citra
474,Cananea,MX,70.93,clear sky,30.95,-110.3,Casas Montoya
475,Poso,ID,82.09,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
477,Muros,ES,64.24,clear sky,42.7762,-9.0603,Apartment Av. Castelao
478,Cubarral,CO,72.79,moderate rain,3.7935,-73.8406,Hotel Shaloom
479,Ampanihy,MG,66.56,light rain,-24.7,44.75,Angora Hotel
481,Maldonado,UY,60.19,overcast clouds,-34.6667,-54.9167,La Cimarrona
482,Port Hueneme,US,85.12,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
485,Owensboro,US,79.25,clear sky,37.7742,-87.1133,Courtyard by Marriott Owensboro
486,Sakakah,SA,76.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
489,Tabou,CI,77.45,overcast clouds,4.423,-7.3528,hotêl doufoulougou
490,Flinders,AU,61.05,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
492,San Vicente,AR,62.67,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
493,Sorong,ID,80.24,overcast clouds,-0.8833,131.25,waigo splash hotel
496,Sao Paulo De Olivenca,BR,75.4,light rain,-3.3783,-68.8725,
498,Creston,US,63.64,overcast clouds,41.0586,-94.3614,Supertel Inn & Conference Center
500,Horta,PT,68.65,overcast clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
503,Manono,CD,75.96,overcast clouds,-7.3,27.4167,Hotel hewa bora
506,Yatou,CN,61.16,broken clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
508,Riyadh,SA,75.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
509,Lata,PT,66.06,few clouds,40.1629,-8.3327,Casa Maquia
510,Virginia Beach,US,72.27,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
511,Noumea,NC,84.18,clear sky,-22.2763,166.4572,Hôtel Le Lagon
512,Agadir,MA,63.05,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
513,Kindu,CD,69.48,overcast clouds,-2.95,25.95,Résidence Okanda
516,Uige,AO,68.94,overcast clouds,-7.6087,15.0613,Hotel Catraio
517,Yaring,TH,75.24,scattered clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
519,Rio Verde De Mato Grosso,BR,69.66,light rain,-18.9181,-54.8442,Hotel Valência
520,Mount Pleasant,US,73.99,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
523,Araouane,ML,87.44,overcast clouds,18.9048,-3.5265,
525,Carauari,BR,79.83,broken clouds,-4.8828,-66.8958,Hotel Fellip
526,Yaan,NG,71.96,overcast clouds,7.3833,8.5667,
527,Turan,VN,80.65,few clouds,16.0678,108.2208,Sun River Hotel
528,Arani,IN,77.32,overcast clouds,12.6667,79.2833,KPK LODGE
531,Clinton,US,73.94,broken clouds,42.587,-82.9199,Hampton Inn Detroit/Roseville
534,Moyale,KE,70.9,scattered clouds,3.5167,39.0584,La Tahzan Guest House
536,Jinxi,CN,61.3,overcast clouds,30.4323,116.2922,Jinling Hotel
537,Santa Cruz,BO,81.86,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
538,Caxito,AO,73.44,broken clouds,-8.5785,13.6643,
540,Vermilion,US,80.19,clear sky,40.1667,-87.7506,Sparkling Springs Cabin
542,Ha Tinh,VN,76.93,heavy intensity rain,18.3333,105.9,Phú Quý
543,Shimoda,JP,79.16,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
544,Garowe,SO,77.23,light rain,8.4054,48.4845,Curubo Hotel
545,Perth,AU,68.04,scattered clouds,-31.9333,115.8333,Beatty Lodge
549,Kangaba,ML,77.68,broken clouds,11.9333,-8.4167,Hôtel Mandé
551,Manavgat,TR,63.01,clear sky,36.7867,31.4431,River Boutique Hotel
552,Vila Franca Do Campo,PT,72.01,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
556,Ahuimanu,US,85.71,broken clouds,21.4447,-157.8378,Paradise Bay Resort
559,Praia Da Vitoria,PT,72.75,overcast clouds,38.7333,-27.0667,Hotel Branco I
560,Palauig,PH,82.38,moderate rain,15.435,119.9045,Alperi Botique Resort
561,Kulhudhuffushi,MV,82.85,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
562,Tete,MZ,74.1,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
563,Boende,CD,72.19,light rain,-0.2167,20.8667,
565,Sambava,MG,66.58,few clouds,-14.2667,50.1667,Melrose
566,Ormara,PK,83.17,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
567,Boa Vista,BR,80.58,thunderstorm,2.8197,-60.6733,Aipana Plaza Hotel
571,Massaguet,TD,77.04,overcast clouds,12.4755,15.4365,Alwatane
573,Russell,US,74.8,clear sky,32.3502,-85.1999,Macs
580,Thinadhoo,MV,83.07,overcast clouds,0.5333,72.9333,
581,Lar,IN,72.86,clear sky,26.2039,83.9717,Ovaiskarni ward Lar
582,Envira,BR,76.55,light rain,-7.3,-70.2167,
584,Omboue,GA,76.24,overcast clouds,-1.5746,9.2618,Hotel Olako
585,Lodwar,KE,84.02,few clouds,3.1191,35.5973,Solmar Gracious Hotel
587,Taoudenni,ML,89.38,broken clouds,22.6783,-3.9836,
589,Faya,SA,63.12,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
590,Garissa,KE,75.78,few clouds,-0.4536,39.6401,Sharif Plaza Hotel
591,Midland,US,75.87,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
